District Name,District Rating,,,,,,,Self-reported total tax rate,,,,,,,"T1 = School district taxable value before $10,000 homestead exemption",,,,,
,2016,2017,2018,2019,2020,5 year avg,,2016,2017,2018,2019,2020,5 year avg,,2016,2017,2018,2019,2020,5 year avg
Aledo ISD,,,,,,,,1.595,1.595,1.595,1.4933,1.4797,1.5516,,2801213966,3233804397,3511183539,4138531764,4289395592,3594825852
Allen ISD,,,,,,,,1.59,1.59,1.55,1.4589,1.4325,1.52428,,11289512407,12588665884,13977639127,15137272078,15776053280,13753828555
Anna ISD,,,,,,,,1.67,1.67,1.67,1.56835,1.4746,1.61059,,878349567,1068995616,1321780158,1533014724,1721592652,1304746543
Argyle ISD,,,,,,,,1.57005,1.58505,1.58505,1.508,1.4187,1.53337,,1522885752,1797675755,2117302043,2444932358,2795959812,2135751144
Arlington ISD,,,,,,,,1.39008,1.36867,1.36867,1.29867,1.3871,1.362638,,23663689942,25860117566,28394035776,31895313003,33177508553,28598132968
Aubrey ISD,,,,,,,,1.51,1.51,1.59,1.56835,1.5087,1.53741,,829568400,966347927,1049436496,1185617076,1332791287,1072752237
Azle ISD,,,,,,,,1.203,1.329,1.329,1.24735,1.2474,1.27115,,2452854874,2625686995,2863135064,3243969761,3388287778,2914786894
Birdville ISD,,,,,,,,1.4539,1.4539,1.4539,1.3839,1.3803,1.42518,,8502481859,9376091252,10191382861,11287704723,11892591862,10250050511
Bland ISD,,,,,,,,1.488,1.4271,1.364,1.31,1.1527,1.34836,,149001303,169462635,207127590,237782735,274695228,207613898.2
Blue Ridge ISD,,,,,,,,1.57149,1.57149,1.57149,1.56835,1.524,1.561364,,169987964,214036988,252688647,306749742,335241384,255740945
Burleson ISD,,,,,,,,1.54,1.67,1.67,1.56835,1.5383,1.59733,,3902405571,4302128192,4713537132,5215547446,5551468175,4737017303
Caddo Mills ISD,,,,,,,,1.455,1.455,1.455,1.35335,1.2566,1.39499,,405228470,467071746,533034705,617418689,707734919,546097705.8
Carroll ISD,,,,,,,,1.39,1.385,1.38,1.3,1.2864,1.34828,,7162478978,7866650025,8488767084,9127899790,9357803308,8400719837
Carrollton-Farmers Branch ISD,,,,,,,,1.392,1.381,1.37,1.26835,1.2547,1.33321,,16591930453,17892844975,19361103872,23205400784,25095294134,20429314844
Castleberry ISD,,,,,,,,1.3766,1.3922,1.3922,1.29055,1.2413,1.33857,,570030520,647440557,769553924,908801153,986064462,776378123.2
Cedar Hill ISD,,,,,,,,1.516,1.516,1.376,1.306,1.2833,1.39946,,3007551300,3249069554,3586916858,3852252423,4249973197,3589152666
Celeste ISD,,,,,,,,1.49006,1.4606,1.4306,1.32895,1.2236,1.386762,,93503488,103552817,114987099,132182218,154060616,119657247.6
Celina ISD,,,,,,,,1.64,1.64,1.64,1.5489,1.4832,1.59042,,1008321180,1172168014,1377941175,1592388540,1806615982,1391486978
Community ISD,,,,,,,,1.625,1.625,1.67,1.56835,1.4862,1.59491,,686772061,816784611,940268088,1081177316,1230608342,951122083.6
Coppell ISD,,,,,,,,1.4927,1.4777,1.4605,1.3309,1.31,1.41436,,10314120118,11038630023,12120887448,13205203638,13883202126,12112408671
Crandall ISD,,,,,,,,1.5236,1.54,1.54,1.47,1.3747,1.48966,,672732802,781350387,939633608,1147484375,1357891517,979818537.8
Crowley ISD,,,,,,,,1.65,1.67,1.67,1.5684,1.5398,1.61964,,5692103144,6292033769,6835557170,7745454251,8393185503,6991666767
Dallas ISD,,,,,,,,1.282085,1.282085,1.412035,1.310385,1.296735,1.316665,,1.01677E+11,1.10149E+11,1.20144E+11,1.30438E+11,1.40115E+11,1.20504E+11
Decatur ISD,,,,,,,,1.34,1.34,1.305,1.21,1.2001,1.27902,,1886591133,1951299121,2270663079,2529542195,2484828824,2224584870
Denton ISD,,,,,,,,1.54,1.54,1.54,1.47,1.4076,1.49952,,14268341718,16200904513,17980678133,20169337202,21698838243,18063619962
DeSoto ISD,,,,,,,,1.46,1.49,1.49,1.52835,1.52909,1.499488,,2594562853,2850409387,3148925422,3456506557,3767324211,3163545686
Duncanville ISD,,,,,,,,1.52148,1.52148,1.52,1.4183,1.3676,1.469772,,3948034338,4293719467,4692390186,5074167273,5555801604,4712822574
Eagle Mountain-Saginaw ISD,,,,,,,,1.54,1.54,1.54,1.518,1.4964,1.52688,,7652013685,8424218427,9637448608,10760706873,11567271175,9608331754
Era ISD,,,,,,,,1.308,1.245,1.21,1.14,1.1364,1.20788,,140981944,148706143,175045506,191107317,190074975,169183177
Everman ISD,,,,,,,,1.525,1.51,1.495,1.39,1.37,1.458,,1206675286,1258708159,1393034324,1628853894,1743668674,1446188067
Farmersville ISD,,,,,,,,1.429497,1.39,1.32,1.209425,1.143,1.2983844,,462618472,534350676,610090527,709887999,784941648,620377864.4
Ferris ISD,,,,,,,,1.355,1.3873,1.5173,1.442749,1.3138,1.4032298,,335113874,371000263,420994212,520739433,598493685,449268293.4
Forney ISD,,,,,,,,1.54,1.54,1.54,1.47,1.3747,1.49294,,3155676614,3637780214,4124302235,4863808036,5626809631,4281675346
Fort Worth ISD,,,,,,,,1.352,1.352,1.352,1.282,1.3784,1.34328,,30903276110,34274605541,36459430364,41864347523,43467419400,37393815788
Frisco ISD,,,,,,,,1.46,1.46,1.44,1.3383,1.3102,1.4017,,29318882245,33984187742,38585555444,41689613090,44398891405,37595425985
Garland ISD,,,,,,,,1.46,1.46,1.46,1.39,1.3463,1.42326,,15941444274,17562153524,19439035998,21063970780,22994049984,19400130912
Godley ISD,,,,,,,,1.54,1.54,1.54,1.47,1.4664,1.51128,,771902369,780509368,896063402,999992633,1039664305,897626415.4
Granbury ISD,,,,,,,,1.25,1.21,1.195,1.125,1.1114,1.17828,,4930872612,5545794585,5836303184,6524294686,6795632428,5926579499
Grand Prairie ISD,,,,,,,,1.595,1.595,1.595,1.53835,1.5097,1.56661,,5787566202,6340644433,6978673957,7737047734,8677222698,7104231005
Grapevine-Colleyville ISD,,,,,,,,1.3967,1.3967,1.3967,1.3267,1.3031,1.36398,,12662564591,13758990935,14742263025,16087527318,16963409444,14842951063
Gunter ISD,,,,,,,,1.62,1.62,1.62,1.51834,1.5047,1.576608,,258251806,295949628,346840177,404149289,444095093,349857198.6
Highland Park ISD (Dallas),,,,,,,,1.1573,1.18255,1.2107,1.1344,1.12465,1.16192,,16762708435,17373101920,18272685145,18969530666,19551125835,18185830400
Hurst-Euless-Bedford ISD,,,,,,,,1.316,1.263,1.273,1.22,1.198,1.254,,11180706987,12863100691,13815372860,15530423106,16502565544,13978433838
Irving ISD,,,,,,,,1.445,1.4314,1.4011,1.3051,1.2751,1.37154,,10634264410,11205868241,12159813982,14477473463,15781656685,12851815356
Joshua ISD,,,,,,,,1.61,1.6,1.52,1.44,1.396,1.5132,,1354116611,1423102039,1605233366,1742918134,1867441793,1598562389
Keller ISD,,,,,,,,1.52,1.52,1.51,1.4083,1.3947,1.4706,,15396016302,16947312374,18237460038,19995810612,20720821662,18259484198
Kennedale ISD,,,,,,,,1.486724,1.48,1.451694,1.35,1.3364,1.4209636,,1219065215,1314365492,1456973181,1635326688,1709993632,1467144842
Krum ISD,,,,,,,,1.54,1.54,1.54,1.39183,1.345082,1.4713824,,671796079,748251660,854353309,958436654,971499569,840867454.2
Lake Dallas ISD,,,,,,,,1.67,1.67,1.67,1.5683,1.5503,1.62572,,1612882015,1755698214,1946135625,2180642548,2312464972,1961564675
Lake Worth ISD,,,,,,,,1.67,1.67,1.67,1.5684,1.5102,1.61772,,826685491,910926675,1032236007,1122562511,1191091226,1016700382
Lancaster ISD,,,,,,,,1.54,1.54,1.53,1.52835,1.4999,1.52765,,2086062973,2312785684,2654621965,3134398604,3463372343,2730248314
Leonard ISD,,,,,,,,1.2662,1.25906,1.17,1.06835,0.9801,1.148742,,167421643,187521675,217877964,244909393,277174776,218981090.2
Lewisville ISD,,,,,,,,1.42,1.4075,1.4075,1.3375,1.3473,1.38396,,32662025500,35953941515,39078281975,42669300142,45384656531,39149641133
Little Elm ISD,,,,,,,,1.54,1.54,1.64,1.5383,1.4936,1.55038,,3261071095,3865118227,4596711407,5178411664,5650138354,4510290149
Lovejoy ISD,,,,,,,,1.67,1.67,1.67,1.56835,1.5547,1.62661,,2199650950,2418480943,2641010506,2838749182,2926315837,2604841484
Mansfield ISD,,,,,,,,1.51,1.54,1.54,1.46,1.4464,1.49928,,11855631267,13039797215,14108062080,15561686891,16492433276,14211522146
McKinney ISD,,,,,,,,1.62,1.62,1.59,1.48835,1.4747,1.55861,,12707816343,14171035120,15463720269,16719914803,17521670332,15316831373
Melissa ISD,,,,,,,,1.67,1.67,1.67,1.56835,1.463,1.60827,,818071016,999873342,1233850378,1506406007,1784026423,1268445433
Mesquite ISD,,,,,,,,1.46,1.46,1.52,1.45,1.4464,1.46728,,6983310655,7657882592,8341193550,9127934750,10119093006,8445882911
Midlothian ISD,,,,,,,,1.54,1.54,1.54,1.47,1.3798,1.49396,,3560604179,3921664352,4304247764,4858157941,5366291592,4402193166
Northwest ISD,,,,,,,,1.4525,1.49,1.49,1.42,1.4663,1.46376,,13134202193,14865134626,17561692186,20067500899,22511013079,17627908597
Pilot Point ISD,,,,,,,,1.37,1.37,1.37,1.26835,1.2186,1.31939,,645440524,710180185,775432569,876043551,945311069,790481579.6
Plano ISD,,,,,,,,1.439,1.439,1.439,1.33735,1.32375,1.39562,,45164702386,50010984443,54063697670,57283580484,58981777630,53100948523
Ponder ISD,,,,,,,,1.46784,1.46779,1.46779,1.46778,1.46418,1.467076,,590580733,608822635,740677400,785512653,730652722,691249228.6
Princeton ISD,,,,,,,,1.62,1.62,1.62,1.56835,1.4698,1.57963,,774095541,983206307,1234933151,1514309245,1778344353,1256977719
Prosper ISD,,,,,,,,1.67,1.67,1.67,1.56835,1.4927,1.61421,,5022524204,6603855064,8343020259,9859989088,11131959376,8192269598
Red Oak ISD,,,,,,,,1.54,1.54,1.54,1.43835,1.3592,1.48351,,1552472316,1699072560,1854474788,2115263429,2356504867,1915557592
Richardson ISD,,,,,,,,1.39005,1.39005,1.52,1.41835,1.4047,1.42463,,20382347171,22082810600,23755941099,25527502090,27209133414,23791546875
Rockwall ISD,,,,,,,,1.465,1.44,1.43,1.35,1.31,1.399,,7877107598,8732911656,9710060720,10459923877,11386370912,9633274953
Royse City ISD,,,,,,,,1.67,1.67,1.67,1.56835,1.4648,1.60863,,1481550268,1717072755,1991748031,2342406497,2704819094,2047519329
Sanger ISD,,,,,,,,1.372067,1.372067,1.372067,1.30835,1.197643,1.3244388,,946109832,1029680161,1136419582,1232650802,1383964565,1145764988
Slidell ISD,,,,,,,,1.135,1.14,1.1275,1.07,1.0604,1.10658,,265205490,244270429,286654810,327998264,279506090,280727016.6
Sunnyvale ISD,,,,,,,,1.426,1.52,1.52,1.45,1.3892,1.46104,,1013967200,1105019817,1204484605,1226270421,1414606629,1192869734
Tioga ISD,,,,,,,,1.53,1.53,1.53,1.42,1.3498,1.47196,,91094667,103950438,114461108,128576525,146582483,116933044.2
Trenton ISD,,,,,,,,1.46,1.46,1.42,1.26835,1.1749,1.35665,,179002829,193636933,226975532,264249865,294899185,231752868.8
Valley View ISD (Cooke),,,,,,,,1.344,1.344,1.329,1.294,1.275,1.3172,,828790454,853350059,920842442,1040721976,1116727102,952086406.6
Van Alstyne ISD,,,,,,,,1.52,1.62,1.62,1.5359,1.45,1.54918,,572296415,596505844,709035443,808217533,917638835,720738814
White Settlement ISD,,,,,,,,1.54,1.54,1.52,1.45,1.4159,1.49318,,1737850327,1871907208,2095357100,2429108907,2570558169,2140956342
Whitewright ISD,,,,,,,,1.35,1.35,1.32,1.24535,1.16976,1.287022,,208159162,227104074,274286745,336293731,366856302,282540002.8
Wylie ISD (Collin),,,,,,,,1.34525,1.383,1.462,1.368,1.345,1.38065,,9863809067,7713089648,8553900664,9341632259,9863809067,9067248141